


















Evaluating........................................................................................................................epoch:  57, time: 0.0h 2.0min 7.030555009841919sec, valid (NDCG@10: 0.5558, HR@10: 0.7980), test (NDCG@10: 0.5243, HR@10: 0.7724)


















Evaluating........................................................................................................................epoch:  58, time: 0.0h 2.0min 9.037307739257812sec, valid (NDCG@10: 0.5552, HR@10: 0.8013), test (NDCG@10: 0.5304, HR@10: 0.7780)




















Evaluating........................................................................................................................epoch:  59, time: 0.0h 2.0min 11.021285772323608sec, valid (NDCG@10: 0.5555, HR@10: 0.8046), test (NDCG@10: 0.5297, HR@10: 0.7752)



















Evaluating........................................................................................................................epoch:  60, time: 0.0h 2.0min 12.945074558258057sec, valid (NDCG@10: 0.5557, HR@10: 0.8035), test (NDCG@10: 0.5295, HR@10: 0.7788)


















Evaluating........................................................................................................................epoch:  61, time: 0.0h 2.0min 14.874655961990356sec, valid (NDCG@10: 0.5571, HR@10: 0.8073), test (NDCG@10: 0.5292, HR@10: 0.7773)



















Evaluating........................................................................................................................epoch:  62, time: 0.0h 2.0min 16.7393856048584sec, valid (NDCG@10: 0.5592, HR@10: 0.8068), test (NDCG@10: 0.5286, HR@10: 0.7775)



















Evaluating........................................................................................................................epoch:  63, time: 0.0h 2.0min 18.632615566253662sec, valid (NDCG@10: 0.5584, HR@10: 0.8065), test (NDCG@10: 0.5358, HR@10: 0.7780)



















Evaluating........................................................................................................................epoch:  64, time: 0.0h 2.0min 20.480796813964844sec, valid (NDCG@10: 0.5576, HR@10: 0.8041), test (NDCG@10: 0.5296, HR@10: 0.7810)



















Evaluating........................................................................................................................epoch:  65, time: 0.0h 2.0min 22.50423550605774sec, valid (NDCG@10: 0.5569, HR@10: 0.8038), test (NDCG@10: 0.5328, HR@10: 0.7810)



















Evaluating........................................................................................................................epoch:  66, time: 0.0h 2.0min 24.450670957565308sec, valid (NDCG@10: 0.5618, HR@10: 0.8061), test (NDCG@10: 0.5346, HR@10: 0.7805)



















Evaluating........................................................................................................................epoch:  67, time: 0.0h 2.0min 26.3640034198761sec, valid (NDCG@10: 0.5608, HR@10: 0.8036), test (NDCG@10: 0.5365, HR@10: 0.7788)



















Evaluating........................................................................................................................epoch:  68, time: 0.0h 2.0min 28.319719314575195sec, valid (NDCG@10: 0.5593, HR@10: 0.8041), test (NDCG@10: 0.5340, HR@10: 0.7811)



















Evaluating........................................................................................................................epoch:  69, time: 0.0h 2.0min 30.201643466949463sec, valid (NDCG@10: 0.5609, HR@10: 0.8096), test (NDCG@10: 0.5369, HR@10: 0.7811)



















Evaluating........................................................................................................................epoch:  70, time: 0.0h 2.0min 32.086875915527344sec, valid (NDCG@10: 0.5644, HR@10: 0.8051), test (NDCG@10: 0.5350, HR@10: 0.7828)



















Evaluating........................................................................................................................epoch:  71, time: 0.0h 2.0min 34.06398820877075sec, valid (NDCG@10: 0.5639, HR@10: 0.8063), test (NDCG@10: 0.5369, HR@10: 0.7841)



















Evaluating........................................................................................................................epoch:  72, time: 0.0h 2.0min 35.936803102493286sec, valid (NDCG@10: 0.5635, HR@10: 0.8088), test (NDCG@10: 0.5387, HR@10: 0.7869)



















Evaluating........................................................................................................................epoch:  73, time: 0.0h 2.0min 37.896056175231934sec, valid (NDCG@10: 0.5615, HR@10: 0.8084), test (NDCG@10: 0.5373, HR@10: 0.7803)



















Evaluating........................................................................................................................epoch:  74, time: 0.0h 2.0min 39.95245981216431sec, valid (NDCG@10: 0.5632, HR@10: 0.8075), test (NDCG@10: 0.5367, HR@10: 0.7821)



















Evaluating........................................................................................................................epoch:  75, time: 0.0h 2.0min 42.087629556655884sec, valid (NDCG@10: 0.5613, HR@10: 0.8071), test (NDCG@10: 0.5371, HR@10: 0.7823)



















Evaluating........................................................................................................................epoch:  76, time: 0.0h 2.0min 44.23540711402893sec, valid (NDCG@10: 0.5629, HR@10: 0.8081), test (NDCG@10: 0.5346, HR@10: 0.7805)



















